id,catCode,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,MAIN_STORY_PART2,"1章",1,,,,,"冒険始動",1,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,セリーヌ,シルヴァ,ファティマ,ギルバート,商人,魔物リーダー,傭兵"
2,MAIN_STORY_PART2,"1章",1,,,,,"雪山登山",2,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,オルガ,オルデル,モルバ,土妖精"
3,MAIN_STORY_PART2,"1章",1,,,,,"雪山戦線異常アリ",3,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,オルデル,モルバ,土妖精"
4,MAIN_STORY_PART2,"1章",1,,,,,"雪山名物",4,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,オルデル,モルバ,バルドル,オルガ,土妖精,魔物リーダー"
5,MAIN_STORY_PART2,"1章",1,,,,,"悪夢",5,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ディルマ,メルティオール,ファティマ,魔法兵団員"
6,MAIN_STORY_PART2,"1章",1,,,,,"船上にて",6,"メルティオールv1の必殺技セリフはここのセリフを読み上げている","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,カリファ,メルティオール,湖都の兵,クラーケン"
7,MAIN_STORY_PART2,"1章",1,,,,,"海風に吹かれて",7,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ファティマ,ラファーガ,メルティオール,オルオレータ,魔物"
8,MAIN_STORY_PART2,"1章",1,,,,,"海が好き！",8,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ラファーガ,ルーラ,サーポ,トルトゥガ,オルカ,ミドア,ペイシェ"
9,MAIN_STORY_PART2,"1章",1,,,,,"記録をたどって",9,"ラファーガ「ユグドって姉ちゃん」。今聞くと違和感がすごい。_NL_ペイシェもユグドのことを知らない感じ","主人公,フィーナ,ピリカ,ペイシェ,ラファーガ,アルボール,ユグド,ファティマ,魔物,聖王（カドケウス）,黒の王,エイレヌス,アインスロット"
10,MAIN_STORY_PART2,"1章",1,,,,,"再会",10,,"主人公,フィーナ,ピリカ,カイン,黒騎士,ファティマ,ユグド,管理者の男（フィーナ父）,ドラゴン（湖都の守護者）,ミョルン"
11,MAIN_STORY_PART2,"1章",1,,,,,"記述者",11,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,管理者の男（フィーナ父）,黒の王,ファティマ,ユグド,マスカルウィン,ラベゼリン,バルクス"
12,MAIN_STORY_PART2,"1章",1,,,,,"黒の大陸",12,,"主人公,フィーナ,ピリカ,ユグド,ファティマ,ギルバート,ペイシェ,魔物"
13,MAIN_STORY_PART2,"1章",1,,,,,"出立の決意",13,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ファティマ,ユグド,義勇軍の兵"
14,MAIN_STORY_PART2,"1章",1,,,,,"船出",14,"メルティオールより連鎖崩落式爆縮魔導弾を受け取る_NL_ケ者の大陸で威力について触れられる","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,オルガ,メルティオール,ファティマ,ロロ,ラファーガ,シルヴァ,セリーヌ,ギルバート,ユグド,ヘリシティー,デューク,ガジジナ,ヴァレリオ,ゼィヒア,テラ,リヴェラ,シュザ,ヨシツグ,ツル,アインスロット,ルイーゼ,カリファ,アシュリナ,ファラ,オルオレータ,傭兵,魔物"
15,MAIN_STORY_PART2,"1章",1,,,,,"大海",15,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ"
16,MAIN_STORY_PART2,"2章",2,,,,,"波にゆられて",1,"主人公の新必殺技：飛閃断空_NL_修行不足のため剣まで吹っ飛ぶ","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ"
17,MAIN_STORY_PART2,"2章",2,,,,,"海に生きる者たち",2,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,アーネスト,ミラ"
18,MAIN_STORY_PART2,"2章",2,,,,,"外海の島",3,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,アーネスト,ミラ,ジャン"
19,MAIN_STORY_PART2,"2章",2,,,,,"流されて出会い",4,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,アーネスト,ヘリシティー"
20,MAIN_STORY_PART2,"2章",2,,,,,"海魔",5,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,バルトロ"
21,MAIN_STORY_PART2,"2章",2,,,,,"掟破り",6,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,バルトロ"
22,MAIN_STORY_PART2,"2章",2,,,,,"出会いの島",7,,"主人公,フィーナ,ピリカ,ペイシェ,マリアン,メイビア,ダビド,リンリー,モルガン,ジャン,ミラ,デューク"
23,MAIN_STORY_PART2,"2章",2,,,,,"霧の海",8,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,モルガン"
24,MAIN_STORY_PART2,"2章",2,,,,,"最後の障害",9,,"主人公,フィーナ,ピリカ,カイン,ミシディア,ペイシェ,デューク,バルトロ,ミラ"
25,MAIN_STORY_PART2,"3章",3,,,,,"邂逅、戦闘、追跡",1,"ペイシェの必殺技：シャイニングぱ～んち","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ユルルガ,ニュガガス"
26,MAIN_STORY_PART2,"3章",3,,,,,"走れ走れ！",2,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ユルルガ,ニュガガス,キララネ,テリリア,チロルル,シェギギム"
27,MAIN_STORY_PART2,"3章",3,,,,,"救出逃走！",3,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ガジジナ,ギザザヤ,テリリア,チロルル,シェギギム"
28,MAIN_STORY_PART2,"3章",3,,,,,"カミの戦士",4,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ガジジナ,ギザザヤ,リヴェラ,キララネ,イノデウス"
29,MAIN_STORY_PART2,"3章",3,,,,,"支える男",5,"名前のみ：リヴェラ_NL_リヴェラの名前が初出","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ガジジナ,ギザザヤ,キララネ,イノデウス"
30,MAIN_STORY_PART2,"3章",3,,,,,"反撃開始",6,"砦の攻略にメルティオールから預かった連鎖崩落式爆縮魔導弾を使うことを提案_NL_ペイシェ曰く世界を破滅させる光","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,コルルリ,リジジ,レジジ"
31,MAIN_STORY_PART2,"3章",3,,,,,"歩み",7,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ガジジナ,ギザザヤ,グララオ,ユギギ,オウララ,ユルルガ"
32,MAIN_STORY_PART2,"3章",3,,,,,"夕暮れの大攻防戦",8,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ユルルガ,ギザザヤ,バルクス"
33,MAIN_STORY_PART2,"3章",3,,,,,"継承者",9,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ガジジナ,ギザザヤ,キララネ,マスカルウィン,バルクス,オウララ"
34,MAIN_STORY_PART2,"3章",3,,,,,"記述者ふたり",10,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ガジジナ,ギザザヤ,キララネ,バルクス"
35,MAIN_STORY_PART2,"3章",3,,,,,"終結",11,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ガジジナ,ギザザヤ,キララネ,ユルルガ,グララオ,テリリア"
36,MAIN_STORY_PART2,"3章",3,,,,,"和解",12,"リヴェラ伝説：ケ者の大陸篇","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ガジジナ,ギザザヤ,キララネ,ユルルガ,エル,リヴェラ"
37,MAIN_STORY_PART2,"3章",3,,,,,"再戦・バルクス",13,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ガジジナ,ギザザヤ,バルクス"
39,MAIN_STORY_PART2,"4章",4,,,,,"愚痴の監獄",2,"フィーナの特技が披露される_NL_フィーナ「なんと私は、右手の小指の第一関節だけを曲げることができるのです。えいっ！」_NL_囚人たち「すげぇぇぇっ！」","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ローゼマリー,レオン,ヴァリー,ゾーイ,リーア"
40,MAIN_STORY_PART2,"4章",4,,,,,"彷徨う女の子",3,"犬の名前：ベルン","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ローゼマリー,レオン,ヴァリー,ゾーイ,リーア,タチアナ"
41,MAIN_STORY_PART2,"4章",4,,,,,"愚痴の主",4,"名前のみ：リヴェラ","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ローゼマリー,レオン,ヴァリー,ゾーイ,リーア,ザエル"
42,MAIN_STORY_PART2,"4章",4,,,,,"欠片",5,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ローゼマリー,レオン,ザエル,リヴェラ,所長"
43,MAIN_STORY_PART2,"4章",4,,,,,"欲する者達",6,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ローゼマリー,レオン,ヴァレリオ,タチアナ"
44,MAIN_STORY_PART2,"4章",4,,,,,"協力者",7,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ローゼマリー,レオン,ヴァレリオ,タチアナ,リーア"
45,MAIN_STORY_PART2,"4章",4,,,,,"憤怒する者達",8,"フィーナの特技が披露される_NL_フィーナ「口の中で、サクランボの茎をチョウチョ結びできました！」_NL_ボムボマー「……で？」","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,ボムボマー,レオン,ゼィヒア"
46,MAIN_STORY_PART2,"4章",4,,,,,"ゼィヒアの持つ欠片",9,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,リーア,レオン,ゼィヒア"
47,MAIN_STORY_PART2,"4章",4,,,,,"リーアの世界",10,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,リーア,レオン,セスト"
48,MAIN_STORY_PART2,"4章",4,,,,,"悪の理屈",11,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,リーア,レオン,ヴァレリオ,ヴァリー,ゾーイ,ザエル"
49,MAIN_STORY_PART2,"4章",4,,,,,"ザエルのクロニクル",12,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,リーア,レオン,ヴァレリオ,ヴァリー,ゾーイ,ザエル"
50,MAIN_STORY_PART2,"4章",4,,,,,"欲望の果てに",13,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,リーア,レオン,ヴァレリオ,ザエル,ローゼマリー,ゼィヒア"
51,MAIN_STORY_PART2,"4章",4,,,,,"罪のクロニクル",14,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,リーア,レオン,ゼィヒア"
52,MAIN_STORY_PART2,"4章",4,,,,,"さらば監獄",15,,"主人公,フィーナ,ピリカ,ペイシェ,リーア,レオン,ゼィヒア,ザエル,ローゼマリー"
53,MAIN_STORY_PART2,"5章",5,,,,,"薄命の大陸",1,"リヴェラの目的が黒の根源を断つことだと判明","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,リヴェラ,エル,テラ,フイ"
