id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,EVENT_QUEST,"１～２部","2014",2014,"武器商人クエスト～ダスティの実践販売２～",1,,,"ヨルデの真剣勝負",1,,"主人公,ピリカ,ダスティ,ヨルデ"
2,EVENT_QUEST,"１～２部","2014",2014,"魔法試験クエスト～魔法学園の中間試験～",2,,,"魔法試験1限目",1,,"主人公,ピリカ,カレン"
3,EVENT_QUEST,"１～２部","2014",2014,"魔法試験クエスト～魔法学園の中間試験～",2,,,"魔法試験2限目",2,,"主人公,ピリカ,ルカナ"
4,EVENT_QUEST,"１～２部","2014",2014,"魔法試験クエスト～魔法学園の中間試験～",2,,,"魔法試験3限目",3,,"主人公,ピリカ,チアリー"
5,EVENT_QUEST,"１～２部","2014",2014,"魔法試験クエスト～魔法学園の中間試験～",2,,,"魔法試験4限目",4,,"主人公,ピリカ,レベッカ"
6,EVENT_QUEST,"１～２部","2014",2014,"魔法試験クエスト～魔法学園の中間試験～",2,,,"魔法試験5限目",5,,"主人公,ピリカ,イザベル"
7,EVENT_QUEST,"１～２部","2014",2014,"魔法試験クエスト～魔法学園の中間試験～",2,,,"魔法試験6限目",6,,"主人公,ピリカ,カレン,ルカナ,チアリー,レベッカ,イザベル,ディルマ"
8,EVENT_QUEST,"１～２部","2014",2014,"騎士団クエスト～”清廉の泉”騎士団、出撃～",3,,,"狙われた騎士団長1",1,,"主人公,ピリカ,ルアンナ,アンジェリカ"
9,EVENT_QUEST,"１～２部","2014",2014,"騎士団クエスト～”清廉の泉”騎士団、出撃～",3,,,"狙われた騎士団長2",2,,"主人公,ピリカ,ルアンナ,アンジェリカ"
10,EVENT_QUEST,"１～２部","2014",2014,"黒の軍勢包囲網を突破せよ！",4,,,"救援要請",1,,"主人公,ピリカ,フィーナ,シルヴァ,ヤーウッド,ミーム,エイレヌス,カイン,ミシディア,マリナ"
11,EVENT_QUEST,"１～２部","2014",2014,"黒の軍勢包囲網を突破せよ！",4,,,"急げ、勇士よ",2,,"主人公,ピリカ,フィーナ,エイレヌス,カイン,ミシディア,マリナ"
